epoch,split,term,raw_value,weight,weighted_contribution,share_of_recon_total,share_of_total
14,train,final_l1,0.0,0.0,0.0,0.0,0.0
14,train,grad,0.0,0.0,0.0,0.0,0.0
14,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
14,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
14,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
14,train,cloud_l1,0.045066317144656,100.0,4.5066317144656,0.8803654147248938,0.6799453766659247
14,train,cloud_kl,0.3827593869754663,1.6,0.6124150191607461,0.11963458220839703,0.09239911030282649
14,train,cloud_adv,0.517437890673267,0.25,0.12935947266831674,,0.019517320460519166
14,train,feature_matching,0.1735329877340237,3.125,0.5422905866688241,0.10593585353373333,0.08181897270002303
14,train,perceptual,0.1395391965290639,6.0,0.8372351791743835,0.16355294650997004,0.12631921695185472
14,val,final_l1,0.0,0.0,0.0,0.0,0.0
14,val,grad,0.0,0.0,0.0,0.0,0.0
14,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
14,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
14,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
14,val,cloud_l1,0.0387458868578753,100.0,3.87458868578753,0.8704222145432913,0.7264028791312169
14,val,cloud_kl,0.3605007654563947,1.6,0.5768012247302315,0.12957777975829823,0.10813794813043244
14,val,cloud_adv,0.0,0.25,0.0,,0.0
14,val,feature_matching,0.0,3.125,0.0,0.0,0.0
14,val,perceptual,0.1470915149389342,6.0,0.8825490896336051,0.1982637114127405,0.16545916268120758
15,train,final_l1,0.0,0.0,0.0,0.0,0.0
15,train,grad,0.0,0.0,0.0,0.0,0.0
15,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
15,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
15,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
15,train,cloud_l1,0.0449622393007581,100.0,4.49622393007581,0.8695392006848242,0.6501522137032573
15,train,cloud_kl,0.38328880919229,1.76,0.6745883041784304,0.13046080086957618,0.09754520373555726
15,train,cloud_adv,0.5234231021972972,0.3,0.15702693065918913,,0.022706032476762863
15,train,feature_matching,0.1781761539125934,3.75,0.6681605771722252,0.12921772207943646,0.09661575693594156
15,train,perceptual,0.1393406642002796,6.6,0.9196483837218453,0.17785375749270138,0.13298079495237666
15,val,final_l1,0.0,0.0,0.0,0.0,0.0
15,val,grad,0.0,0.0,0.0,0.0,0.0
15,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
15,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
15,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
15,val,cloud_l1,0.0412082718685269,100.0,4.12082718685269,0.8674763478248138,0.7179128558769566
15,val,cloud_kl,0.3576905842531811,1.76,0.6295354282855988,0.13252365833196084,0.1096749649289269
15,val,cloud_adv,0.0,0.3,0.0,,0.0
15,val,feature_matching,0.0,3.75,0.0,0.0,0.0
15,val,perceptual,0.1499466269531033,6.6,0.9896477378904817,0.20833098947641282,0.17241218852561496
16,train,final_l1,0.0,0.0,0.0,0.0,0.0
16,train,grad,0.0,0.0,0.0,0.0,0.0
16,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
16,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
16,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
16,train,cloud_l1,0.0441119868809568,100.0,4.41119868809568,0.8571471086249076,0.6228018367498422
16,train,cloud_kl,0.3829032606487974,1.92,0.735174260445691,0.14285289242968027,0.10379670291714868
16,train,cloud_adv,0.5204843499609454,0.35,0.18216952248633086,,0.02571988278617018
16,train,feature_matching,0.1739273520360276,4.375,0.7609321651576207,0.14785795230323534,0.10743337210838445
16,train,perceptual,0.1379658352093777,7.199999999999999,0.9933540135075193,0.1930202153026324,0.1402482064171968
16,val,final_l1,0.0,0.0,0.0,0.0,0.0
16,val,grad,0.0,0.0,0.0,0.0,0.0
16,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
16,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
16,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
16,val,cloud_l1,0.0385250973261215,100.0,3.85250973261215,0.8488471879433969,0.6904087769616805
16,val,cloud_kl,0.3572968999770554,1.92,0.6860100479559463,0.15115281739041475,0.12293995111377723
16,val,cloud_adv,0.0,0.35,0.0,,0.0
16,val,feature_matching,0.0,4.375,0.0,0.0,0.0
16,val,perceptual,0.1446558240039104,7.199999999999999,1.0415219328281546,0.22948493974682355,0.1866512828599892
17,train,final_l1,0.0,0.0,0.0,0.0,0.0
17,train,grad,0.0,0.0,0.0,0.0,0.0
17,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
17,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
17,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
17,train,cloud_l1,0.0434273356566097,100.0,4.3427335656609705,0.8449122325677256,0.6002419946716955
17,train,cloud_kl,0.3832355578649299,2.08,0.7971299603590543,0.15508776770906568,0.1101773503218967
17,train,cloud_adv,0.5257447228883749,0.4,0.21029788915534997,,0.029066859053933705
