epoch,split,total,recon_total,gan_total,final_l1,grad,shadow_removal,shadow_mask,shadow_penumbra,shadow_valid_frac,shadow_no_shadow_frac,shadow_ambiguous_frac,cloud_l1,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_final_l1,w_grad,w_shadow_removal,w_shadow_mask,w_shadow_penumbra,w_cloud_l1,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
25,train,15.164497787569776,14.515212537820448,0.6492852248527385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03603573297552856,0.36372130925272717,0.4325676272190157,0.10472790811808756,0.1368874726594721,1.2060707836975286,0.41137059443772084,0.7808374946500048,0.013862694762148913,0.7687438616046199,0.7472483898386543,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.3,3.0,1.5
25,val,15.034091502428055,14.831658899784088,0.20243268052581698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03518207179149613,0.3771150577813387,0.0,0.0,0.13495512021472678,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.3,3.0,1.5
26,train,15.315241327011046,14.546121581591697,0.7691197524100174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03661712962720129,0.3628136220047013,0.42931475438208244,0.10888144662872018,0.13587115576237807,1.2007986339031425,0.40319218802353973,0.7828204668598411,0.014785980559030831,0.7901770205164151,0.7624540907855878,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.35,3.5,1.75
26,val,15.091643780469894,14.85340017080307,0.23824366554617882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357310701510869,0.37600977439433336,0.0,0.0,0.1361392376711592,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.35,3.5,1.75
27,train,15.363187676104008,14.489844357525861,0.8733433139177016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03589442247379219,0.3633467358816798,0.43240288488658857,0.1080238353307723,0.13414340887847262,1.1942940288119845,0.4026098589838287,0.7758337699582056,0.01585040866433731,0.7943858874678121,0.7621139480498592,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.4,4.0,2.0
27,val,15.193420499563217,14.9190434217453,0.27437708887737244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03568037447985262,0.3783668680116534,0.0,0.0,0.13718854443868622,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.4,4.0,2.0
28,train,15.474920877213341,14.486025743523744,0.9888951591994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567968260634829,0.36393524884196465,0.4322089918356373,0.10971730125017863,0.13363256199676313,1.1940954514001132,0.4006437075481493,0.7788812260568878,0.014570519170501565,0.8055564591914047,0.770853269983221,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.45,4.5,2.25
28,val,15.144982755184174,14.840471774339676,0.30451102287042886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03552748536458239,0.37625744100660086,0.0,0.0,0.135338231746573,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.45,4.5,2.25
29,train,15.676943292343077,14.55889860004064,1.118044717076384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03606368542300085,0.3650843358824773,0.43555713840472843,0.11449821361574371,0.1311100322308609,1.1872864731054737,0.39682974516118996,0.7749822532198557,0.01547447499127315,0.8151860887131083,0.7719958910235653,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.5,5.0,2.5
29,val,15.249571681022644,14.914092928171158,0.33547870093025267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0367222202476114,0.3747290316969156,0.0,0.0,0.13419147935928777,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.5,5.0,2.5
30,train,15.673990850095395,14.457689300976662,1.2163015604019165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035435494794337836,0.3638046603389238,0.438216790495586,0.1110196112666601,0.13260889240375762,1.1852076735516144,0.39701449503133324,0.7726038304376014,0.015589351726527262,0.823487237770371,0.7818581959838239,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.55,5.5,2.75
30,val,15.141073644161224,14.781581461429596,0.35949226829688996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03559578815475106,0.37406675424426794,0.0,0.0,0.13072446116711944,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.55,5.5,2.75
31,train,15.767786418459544,14.441797531190723,1.3259888438530911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03513146796236926,0.36428835804079784,0.4379856953159772,0.1125193475285706,0.12936044432253505,1.1845960850087704,0.3940493615321171,0.7754445711281074,0.015102151111573165,0.8238373234438798,0.7763641575972239,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.6,6.0,3.0
31,val,15.298655092716217,14.884472906589508,0.41418219916522503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03539571963483468,0.37816336564719677,0.0,0.0,0.13806073396699503,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.6,6.0,3.0
32,train,16.02125615641904,14.594951798395856,1.4263043474758603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036331208844366386,0.3653943630648248,0.43943265215359595,0.11032967389764364,0.1303170014157462,1.1800957903449918,0.39193088049260677,0.7724660679146096,0.015698840934112515,0.8353296361342379,0.7864415872489474,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.65,6.5,3.25
32,val,15.582723438739777,15.1405428647995,0.44218063715379685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03938169626053423,0.3734124405309558,0.0,0.0,0.13605557981645688,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.65,6.5,3.25
33,train,16.03382657290486,14.497793209405593,1.5360333630086953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03546091097832462,0.3650567359885071,0.4421348534984353,0.10984537413979999,0.13074895563255612,1.1786286990338393,0.3928156517170094,0.769649388122951,0.016163660061005274,0.8274983444822178,0.777364927432174,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.7,7.0,3.5
